ingredient,attribute,density,density_avg
abiyuch,raw,0.475,0.475
acerola,(west indian cherry),0.408333333,0.408333333
acerola juice,raw,1.008333333,1.008333333
wine,,1,1
alfalfa seeds,sprouted,0.170790816,0.170790816
amaranth grain,cooked,1.025,0.914583333
amaranth grain,uncooked,0.804166667,0.914583333
amaranth leaves,cooked,0.55,0.333333333
amaranth leaves,raw,0.116666667,0.333333333
apple juice,canned,1.033333333,1.014583333
apple juice,frozen,0.995833333,1.014583333
applebee's,chili,0.566666667,0.541666667
applebee's,kraft,0.516666667,0.541666667
apples,dehydrated (low moisture),0.527083333,0.694791667
apples,dried,0.8625,0.694791667
applesauce,canned,1.030208333,1.030208333
apricot nectar,canned,1.108333333,1.108333333
apricots,dehydrated (low-moisture),0.766666667,0.8875
apricots,frozen,1.008333333,0.8875
arrowroot flour,,0.533333333,0.533333333
artichokes,(globe or french),0.7,0.7
arugula,raw,0.041666667,0.041666667
asparagus,canned,0.675,0.589583333
asparagus,cooked,0.375,0.589583333
asparagus,frozen,0.75,0.589583333
asparagus,raw,0.558333333,0.589583333
bacon,meatless,0.6,0.6
bacon bits,meatless,0.476190476,0.476190476
balsam-pear (bitter gourd),leafy tips,0.194444444,0.194444444
bananas,dehydrated,0.419217687,0.419217687
barley,hulled,0.766666667,0.755208333
barley,pearled,0.74375,0.755208333
barley flour,,0.616666667,0.616666667
barley malt flour,,0.675,0.675
adzuki beans,adzuki,0.992708333,0.992708333
baked beans,baked,1.058854167,1.058854167
black turtle beans,black turtle,0.827083333,0.827083333
chili beans,chili,1.054166667,1.054166667
cranberry (roman) beans,cranberry (roman),0.842708333,0.842708333
fava beans,fava,0.525,0.525
beans,white,0.77,0.793386
beans,black,0.816772959,0.793386
french beans,french,0.747222222,0.747222222
great northern beans,great northern,0.884166667,0.884166667
kidney beans,kidney,0.831037415,0.831037415
liquid from stewed kidney beans beans,liquid from stewed kidney beans,1,1
mung beans,mung,0.520833333,0.520833333
navy beans,navy,0.781666667,0.781666667
pink beans,pink,0.761111111,0.761111111
pinto beans,pinto,0.795464853,0.795464853
shellie beans,shellie,1.020833333,1.020833333
small white beans,small white,0.795833333,0.795833333
snap beans,snap,0.562708333,0.562708333
white beans,white,0.832886905,0.832886905
yellow beans,yellow,0.763888889,0.763888889
beef,corned beef hash,0.983333333,0.983333333
beet greens,raw,0.158333333,0.158333333
beets,canned,1.025,0.795833333
beets,raw,0.566666667,0.795833333
coffee,,0.640235261,0.867176871
blackberry,canned,1.066666667,0.773611111
blackberry,raw,0.6,0.773611111
blackberry,wild,0.654166667,0.773611111
blackberry juice,canned,1.041666667,1.041666667
blueberry,canned,1.041666667,0.788541667
blueberry,dried,0.166666667,0.788541667
blueberry,raw,0.616666667,0.788541667
blueberry,wild,1.329166667,0.788541667
boysenberry,canned,1.066666667,1.066666667
